"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9479","test_page_title","tests","Tue Aug 19 10:37:40 UTC 2025","passed","Tue Aug 19 10:37:50 UTC 2025","ExampleTestCase","test_example","",""
"","23957","test_send_message","tests","Tue Aug 19 10:37:55 UTC 2025","passed","Tue Aug 19 10:38:19 UTC 2025","ExampleTestCase","test_example","",""
